id fraud_flag transfer_id timestamp account_name benef_account_id benef_country
1           0   xtr146954  44.24803          Bob        X58233569         ISO03
2           0   xtr337000  54.11579        Alice        X61279665         ISO03
3           0   xtr582322  57.44795          Bob        X22723109         ISO03
4           0   xtr227226  64.29259          Bob        X63848056         ISO03
5           0   xtr311978  64.29369        Alice        X53422917         ISO03
6           0   xtr555544  64.29411          Bob        X54118433         ISO03
7           0   xtr246610  70.24778        Alice        X45391134         ISO03
8           0   xtr931895  70.24803          Bob        X87633911         ISO03
9           0   xtr832334  74.07773        Alice        X53422917         ISO03
10          0   xtr541168  74.07903          Bob        X13044719         ISO03
11          0   xtr785804  74.07985          Bob        X55556211         ISO03
12          0   xtr380668  83.93358        Alice        X98978421         ISO03
13          0   xtr936401  96.20562        Alice        X94397731         ISO03
14          0   xtr710277  96.20756        Alice        X90462741         ISO03
15          0   xtr897605  98.24588        Alice        X60888100         ISO03
16          0   xtr257612 109.26926          Bob        X18544316         ISO03
17          0   xtr158171 123.89065          Bob        X58233569         ISO03
18          0   xtr141448 155.94626          Bob        X93192042         ISO03
19          0   xtr993823 171.01162        Alice        X99394788         ISO03
20          0   xtr849807 226.92318        Alice        X45391134         ISO03
21          0   xtr638463 286.89155          Bob        X93192042         ISO03
22          0   xtr205852 286.89273        Alice        X45391134         ISO03
23          0   xtr625554 286.89422        Alice        X25350300         ISO03
24          0   xtr785706 289.22900          Bob        X15817298         ISO03
25          0   xtr717550 289.22991        Alice        X88087082         ISO03
26          0   xtr876312 317.95455          Bob        X18544316         ISO03
27          0   xtr700065 336.21861        Alice        X94397731         ISO03
28          0   xtr215027 349.88706        Alice        X74704643         ISO03
29          0   xtr175588 349.88809        Alice        X45391134         ISO03
30          0   xtr185440 374.96698          Bob        X63848056         ISO03
31          0   xtr594680 374.96698        Alice        X45391134         ISO03
32          0   xtr581193 374.96699        Alice        X40616071         ISO03
33          0   xtr305626 378.90064        Alice        X53422917         ISO03
34          0   xtr395084 407.06007          Bob        X39509284         ISO03
35          0   xtr754459 407.16306        Alice        X23464562         ISO03
36          0   xtr190256 407.16380        Alice        X74704643         ISO03
37          0   xtr622883 407.16590          Bob        X39509284         ISO03
38          0   xtr433797 420.16551        Alice        X31470783         ISO03
39          1   xtr907138 441.34451          Bob        X23634843         ISO03
40          1   xtr142625 443.24469        Alice        X65617711         ISO03
