fraud_flag transfer_id timestamp account_name benef_account_id benef_country
1           0   xtr146954   3823030          Bob        X58233569         ISO03
2           0   xtr582322   4963503          Bob        X22723109         ISO03
3           0   xtr227226   5554880          Bob        X63848056         ISO03
4           0   xtr555544   5555011          Bob        X54118433         ISO03
5           0   xtr931895   6069430          Bob        X87633911         ISO03
6           0   xtr541168   6400428          Bob        X13044719         ISO03
7           0   xtr785804   6400499          Bob        X55556211         ISO03
8           0   xtr257612   9440864          Bob        X18544316         ISO03
9           0   xtr158171  10704152          Bob        X58233569         ISO03
10          0   xtr141448  13473757          Bob        X93192042         ISO03
11          0   xtr638463  24787430          Bob        X93192042         ISO03
12          0   xtr785706  24989386          Bob        X15817298         ISO03
13          0   xtr876312  27471273          Bob        X18544316         ISO03
14          0   xtr185440  32397147          Bob        X63848056         ISO03
15          0   xtr395084  35169990          Bob        X39509284         ISO03
16          0   xtr622883  35179134          Bob        X39509284         ISO03
17          1   xtr907138  38132166          Bob        X23634843         ISO03
